# Query Group 1 Filters: tissues: musculature | cellTypes: muscle cell, muscle precursor cell, cell of skeletal muscle, skeletal muscle satellite stem cell, skeletal muscle satellite cell, skeletal muscle fiber, myotube
# Query Group 2 Filters: tissues: skin of body | cellTypes: fibroblast, skin fibroblast
Gene,Log Fold Change,Effect Size,Adjusted P-Value
EIF2B3,0.276,0.505,0.000e+0
USP24,0.253,0.504,0.000e+0
USP40,0.250,0.504,0.000e+0
EPM2A,0.238,0.504,0.000e+0
VPS36,0.286,0.504,0.000e+0
CFAP61,0.253,0.503,0.000e+0
CCNL2,0.325,0.503,0.000e+0
NUTM2A-AS1,0.290,0.503,0.000e+0
MDN1,0.238,0.503,0.000e+0
UBAC2,0.312,0.503,0.000e+0
DYM,0.291,0.502,0.000e+0
GALNT2,0.277,0.502,0.000e+0
CDC42BPA,0.300,0.502,0.000e+0
CRIM1,0.283,0.502,0.000e+0
REV3L,0.435,0.502,0.000e+0
KANK1,0.265,0.501,0.000e+0
NFX1,0.261,0.501,0.000e+0
PTPN4,0.254,0.500,0.000e+0
FRY,0.256,0.499,0.000e+0
C20orf194,0.252,0.499,0.000e+0
TRIO,0.350,0.499,0.000e+0
LRRTM3,0.265,0.499,0.000e+0
RCL1,0.247,0.498,0.000e+0
PRKAG3,0.245,0.498,0.000e+0
BNC2,0.342,0.498,0.000e+0
TPCN1,0.263,0.497,0.000e+0
SRSF4,0.360,0.497,0.000e+0
FYCO1,0.249,0.496,0.000e+0
NPLOC4,0.248,0.495,0.000e+0
USP32,0.278,0.495,0.000e+0
MACF1,0.362,0.495,0.000e+0
ALPK2,0.244,0.495,0.000e+0
NAA50,0.322,0.494,0.000e+0
JPX,0.311,0.494,0.000e+0
CDK8,0.241,0.494,0.000e+0
CNST,0.255,0.494,0.000e+0
CSDE1,0.445,0.493,0.000e+0
MLLT10,0.279,0.493,0.000e+0
FAM166B,0.252,0.493,0.000e+0
MYOZ3,0.271,0.493,0.000e+0
SIK2,0.272,0.493,0.000e+0
PIAS1,0.297,0.493,0.000e+0
TNNI2,0.382,0.493,0.000e+0
PHACTR4,0.272,0.492,0.000e+0
RP11-434D9.1,0.322,0.492,0.000e+0
ENSG00000292327,0.228,0.491,0.000e+0
TMEM117,0.238,0.490,0.000e+0
PCM1,0.359,0.490,0.000e+0
PKDCC,0.265,0.490,0.000e+0
DIP2C,0.279,0.490,0.000e+0
PPP1R3E,0.231,0.490,0.000e+0
SRSF5,0.492,0.490,0.000e+0
MFSD11,0.259,0.490,0.000e+0
PABPC4,0.310,0.489,0.000e+0
ANKRD39,0.293,0.489,0.000e+0
FOXJ3,0.288,0.489,0.000e+0
DIP2B,0.242,0.489,0.000e+0
LRP4,0.252,0.489,0.000e+0
RAD23B,0.299,0.489,0.000e+0
ZNF280D,0.283,0.489,0.000e+0
MYSM1,0.249,0.488,0.000e+0
NRF1,0.233,0.488,0.000e+0
RNF111,0.242,0.488,0.000e+0
FBXL20,0.248,0.488,0.000e+0
NEO1,0.253,0.488,0.000e+0
RUSC2,0.256,0.488,0.000e+0
SPDYE2,0.280,0.488,0.000e+0
PM20D2,0.238,0.487,0.000e+0
UBE2B,0.442,0.487,0.000e+0
KANSL3,0.237,0.487,0.000e+0
PHIP,0.335,0.487,0.000e+0
KIAA1109,0.243,0.487,0.000e+0
PUM2,0.277,0.487,0.000e+0
PERM1,0.219,0.486,0.000e+0
ADK,0.299,0.486,0.000e+0
DENND4A,0.276,0.485,0.000e+0
UBAP2,0.242,0.485,0.000e+0
IL6R,0.249,0.484,0.000e+0
UTP11,0.266,0.484,0.000e+0
TMEM245,0.252,0.484,0.000e+0
GAS2,0.233,0.484,0.000e+0
RP11-362A9.3,0.305,0.482,0.000e+0
OTUD7B,0.239,0.482,0.000e+0
KLHL31,0.214,0.482,0.000e+0
NSMCE2,0.275,0.481,0.000e+0
SYNPO2L,0.210,0.481,0.000e+0
HDAC9,0.318,0.481,0.000e+0
TCF12,0.371,0.481,0.000e+0
PFKFB2,0.229,0.480,0.000e+0
NEMF,0.291,0.480,0.000e+0
SYNGR2,0.227,0.480,0.000e+0
RBM26,0.261,0.479,0.000e+0
MAGI1,0.246,0.479,0.000e+0
HSPBAP1,0.217,0.478,0.000e+0
CRADD,0.251,0.478,0.000e+0
SCAF8,0.239,0.478,0.000e+0
KAT2A,0.233,0.478,0.000e+0
MTR,0.253,0.478,0.000e+0
NR3C2,0.245,0.477,0.000e+0
ARMH3,0.223,0.476,0.000e+0
SRPK2,0.308,0.476,0.000e+0
SLC49A4,0.218,0.476,0.000e+0
RP11-381K20.2,0.236,0.476,0.000e+0
ABHD18,0.224,0.475,0.000e+0
SLC38A1,0.271,0.475,0.000e+0
TNS1,0.300,0.475,0.000e+0
PLCL2,0.264,0.474,0.000e+0
KDM6A,0.243,0.474,0.000e+0
CCNT2,0.236,0.474,0.000e+0
RABEP1,0.253,0.473,0.000e+0
ANKS1B,0.247,0.473,0.000e+0
SRSF10,0.391,0.473,0.000e+0
CHTOP,0.267,0.472,0.000e+0
KPNA3,0.267,0.472,0.000e+0
MARCHF7,0.255,0.472,0.000e+0
SIK3,0.300,0.472,0.000e+0
CTBP2,0.278,0.471,0.000e+0
AMPD3,0.223,0.471,0.000e+0
GOT1,0.221,0.471,0.000e+0
CHRNA1,0.242,0.470,0.000e+0
SMCHD1,0.271,0.470,0.000e+0
AHCYL1,0.314,0.470,0.000e+0
SH3RF2,0.218,0.470,0.000e+0
RP11-138A9.2,0.236,0.469,0.000e+0
ZYG11B,0.235,0.469,0.000e+0
ATL2,0.221,0.469,0.000e+0
EFCAB2,0.245,0.468,0.000e+0
MAX,0.292,0.468,0.000e+0
NEDD4L,0.224,0.468,0.000e+0
SPG11,0.243,0.468,0.000e+0
IQGAP1,0.360,0.467,0.000e+0
NHLRC2,0.225,0.467,0.000e+0
MYH14,0.200,0.467,0.000e+0
GIGYF2,0.254,0.466,0.000e+0
NUTM2B-AS1,0.249,0.466,0.000e+0
AMOTL1,0.295,0.466,0.000e+0
PSMD11,0.283,0.466,0.000e+0
RAPGEF2,0.237,0.465,0.000e+0
ATAD2B,0.224,0.465,0.000e+0
FOXP1,0.312,0.465,0.000e+0
TLN2,0.264,0.464,0.000e+0
INO80D,0.226,0.464,0.000e+0
C18orf25,0.220,0.464,0.000e+0
RPAP2,0.236,0.464,0.000e+0
B3GNT5,0.202,0.464,0.000e+0
TMED4,0.317,0.464,0.000e+0
ATG7,0.239,0.463,0.000e+0
WIPF3,0.202,0.463,0.000e+0
PILRB,0.227,0.463,0.000e+0
ICE2,0.230,0.463,0.000e+0
UBQLN1,0.267,0.462,0.000e+0
SNED1,0.297,0.461,0.000e+0
NKAIN2,0.233,0.461,0.000e+0
SLC22A3,0.256,0.461,0.000e+0
UGP2,0.401,0.461,0.000e+0
RNF34,0.219,0.461,0.000e+0
PLPP7,0.197,0.461,0.000e+0
CPEB3,0.218,0.461,0.000e+0
UNC45B,0.196,0.460,0.000e+0
SETD2,0.272,0.460,0.000e+0
CPSF7,0.236,0.460,0.000e+0
PKN2,0.264,0.460,0.000e+0
ABHD2,0.261,0.460,0.000e+0
ZMYND8,0.244,0.459,0.000e+0
MAP2K6,0.223,0.458,0.000e+0
RP11-64D24.2,0.254,0.458,0.000e+0
ZNF91,0.250,0.458,0.000e+0
ZFYVE16,0.246,0.457,0.000e+0
ASPSCR1,0.230,0.457,0.000e+0
CFL2,0.346,0.457,0.000e+0
EPB41,0.205,0.457,0.000e+0
CNKSR1,0.191,0.456,0.000e+0
MAMSTR,0.206,0.456,0.000e+0
MTSS1,0.286,0.456,0.000e+0
FBP2,0.194,0.456,0.000e+0
HUWE1,0.247,0.456,0.000e+0
P2RX6,0.192,0.456,0.000e+0
CARNS1,0.201,0.456,0.000e+0
ANKUB1,0.226,0.456,0.000e+0
MACO1,0.224,0.456,0.000e+0
YTHDC2,0.224,0.455,0.000e+0
RFX3,0.216,0.455,0.000e+0
PIK3CB,0.209,0.455,0.000e+0
PKD1,0.241,0.455,0.000e+0
AUTS2,0.296,0.455,0.000e+0
CDC37,0.368,0.454,0.000e+0
SCARB2,0.325,0.454,0.000e+0
TMTC1,0.280,0.454,0.000e+0
NCKAP1,0.271,0.454,0.000e+0
UBE3C,0.220,0.453,0.000e+0
EHMT1,0.236,0.453,0.000e+0
ZXDC,0.205,0.452,0.000e+0
R3HDM2,0.246,0.452,0.000e+0
XRN1,0.252,0.452,0.000e+0
TNPO1,0.267,0.451,0.000e+0
KDM2A,0.245,0.451,0.000e+0
TMEM52,0.213,0.451,0.000e+0
DDIT4L,0.208,0.451,0.000e+0
IGF2R,0.247,0.451,0.000e+0
AOPEP,0.291,0.451,0.000e+0
RHOBTB3,0.329,0.451,0.000e+0
NF1,0.259,0.451,0.000e+0
ATXN2,0.254,0.450,0.000e+0
DDI2,0.210,0.450,0.000e+0
FAM184B,0.236,0.450,0.000e+0
NAA16,0.215,0.450,0.000e+0
AP1G1,0.223,0.450,0.000e+0
ITCH,0.228,0.449,0.000e+0
YIPF7,0.183,0.449,0.000e+0
BPTF,0.316,0.449,0.000e+0
COL19A1,0.211,0.447,0.000e+0
PRRC2B,0.248,0.447,0.000e+0
CUL5,0.235,0.447,0.000e+0
NNT-AS1,0.215,0.447,0.000e+0
GAMT,0.250,0.446,0.000e+0
UBR4,0.244,0.446,0.000e+0
MYOG,0.191,0.446,0.000e+0
STAU2,0.211,0.446,0.000e+0
UPF3A,0.303,0.446,0.000e+0
TOM1L2,0.219,0.445,0.000e+0
VTI1A,0.215,0.445,0.000e+0
PLIN4,0.190,0.445,0.000e+0
CDC37L1,0.227,0.445,0.000e+0
NAA15,0.223,0.445,0.000e+0
HP1BP3,0.368,0.445,0.000e+0
NXN,0.230,0.444,0.000e+0
HDAC8,0.217,0.444,0.000e+0
TULP4,0.244,0.443,0.000e+0
KBTBD12,0.184,0.443,0.000e+0
BMPR1A,0.239,0.443,0.000e+0
ASB14,0.183,0.443,0.000e+0
ZCCHC7,0.263,0.443,0.000e+0
CLK1,0.352,0.442,0.000e+0
THUMPD3-AS1,0.289,0.442,0.000e+0
MIR193BHG,0.202,0.442,0.000e+0
MIB2,0.212,0.442,0.000e+0
SNTA1,0.200,0.442,0.000e+0
MAPRE3,0.193,0.441,0.000e+0
PICALM,0.275,0.441,0.000e+0
SBK1,0.180,0.441,0.000e+0
ARFGEF1,0.221,0.441,0.000e+0
DLGAP4,0.264,0.440,0.000e+0
NXPE3,0.191,0.440,0.000e+0
ARHGEF10L,0.202,0.440,0.000e+0
TRIP12,0.253,0.440,0.000e+0
RP11-96H19.1,0.224,0.440,0.000e+0
PIP5K1A,0.231,0.440,0.000e+0
COL4A5,0.206,0.439,0.000e+0
LUC7L,0.248,0.439,0.000e+0
NRG2,0.212,0.439,0.000e+0
RASGRP3,0.191,0.439,0.000e+0
COMMD10,0.249,0.439,0.000e+0
RAB21,0.261,0.438,0.000e+0
CENPP,0.212,0.438,0.000e+0
ITSN2,0.225,0.438,0.000e+0
FOCAD,0.204,0.438,0.000e+0
PSTPIP2,0.196,0.438,0.000e+0
TBL1XR1,0.284,0.437,0.000e+0
CYTH1,0.213,0.437,0.000e+0
GATAD2B,0.214,0.436,0.000e+0
PRDM2,0.249,0.436,0.000e+0
GRB10,0.207,0.436,0.000e+0
PBRM1,0.235,0.435,0.000e+0
NMRK2,0.183,0.435,0.000e+0
TRIP10,0.296,0.435,0.000e+0
IDI2,0.189,0.434,0.000e+0
TAF1,0.216,0.434,0.000e+0
SLC2A4,0.183,0.433,0.000e+0
TBC1D15,0.243,0.433,0.000e+0
GAREM1,0.218,0.433,0.000e+0
GPR157,0.178,0.433,0.000e+0
ANKFY1,0.202,0.432,0.000e+0
SAMD8,0.216,0.432,0.000e+0
CMSS1,0.312,0.432,0.000e+0
LMCD1-AS1,0.238,0.432,0.000e+0
MALT1,0.198,0.431,0.000e+0
ALDH1L1,0.175,0.431,0.000e+0
STRIP2,0.172,0.431,0.000e+0
CTD-2545M3.8,0.201,0.431,0.000e+0
OSBPL7,0.183,0.431,0.000e+0
BTRC,0.189,0.431,0.000e+0
NUP98,0.208,0.430,0.000e+0
HSPB6,0.289,0.430,0.000e+0
TFRC,0.201,0.430,0.000e+0
DNAJB5,0.170,0.430,0.000e+0
AMY2B,0.176,0.429,0.000e+0
PREPL,0.212,0.429,0.000e+0
SMC5,0.250,0.429,0.000e+0
SLC38A3,0.177,0.429,0.000e+0
ZHX2,0.240,0.429,0.000e+0
PFKFB3,0.281,0.429,0.000e+0
FRYL,0.208,0.428,0.000e+0
NIBAN1,0.216,0.428,0.000e+0
MRTFA,0.211,0.428,0.000e+0
KAT6A,0.222,0.428,0.000e+0
SREK1,0.286,0.427,0.000e+0
ACACA,0.203,0.427,0.000e+0
AHCYL2,0.190,0.427,0.000e+0
RAD52,0.178,0.427,0.000e+0
WASHC1,0.207,0.427,0.000e+0
ASAH1,0.299,0.427,0.000e+0
ARID2,0.246,0.427,0.000e+0
NEU3,0.171,0.427,0.000e+0
UBE2K,0.261,0.426,0.000e+0
ARID5B,0.480,0.426,0.000e+0
SMG6,0.212,0.425,0.000e+0
ZNF248,0.187,0.425,0.000e+0
ERC1,0.293,0.425,0.000e+0
UBE2R2,0.247,0.425,0.000e+0
MIOS,0.181,0.425,0.000e+0
KANSL1L,0.245,0.425,0.000e+0
RAD23A,0.321,0.425,0.000e+0
STRIT1,0.253,0.425,0.000e+0
FHOD1,0.181,0.425,0.000e+0
MED28,0.250,0.425,0.000e+0
ZNF407,0.185,0.424,0.000e+0
KIDINS220,0.252,0.424,0.000e+0
BAG3,0.318,0.424,0.000e+0
YPEL2,0.244,0.424,0.000e+0
ANAPC16,0.328,0.424,0.000e+0
SNX13,0.204,0.423,0.000e+0
FLNC-AS1,0.197,0.423,0.000e+0
VEZT,0.239,0.423,0.000e+0
KANTR,0.176,0.423,0.000e+0
LARS1,0.223,0.423,0.000e+0
BTBD1,0.187,0.422,0.000e+0
VCP,0.324,0.422,0.000e+0
KAT6B,0.225,0.422,0.000e+0
CASTOR3,0.192,0.421,0.000e+0
MUC20-OT1,0.209,0.421,0.000e+0
RNF146,0.245,0.421,0.000e+0
PCSK7,0.208,0.421,0.000e+0
PARD3B,0.261,0.421,0.000e+0
ENSG00000292348,0.180,0.420,0.000e+0
EFR3A,0.207,0.420,0.000e+0
SMYD3,0.229,0.420,0.000e+0
ATP2B2,0.168,0.420,0.000e+0
FAM222B,0.191,0.419,0.000e+0
ZNF532,0.214,0.419,0.000e+0
MAP3K20-AS1,0.179,0.419,0.000e+0
OSBPL11,0.179,0.418,0.000e+0
ARHGAP6,0.213,0.418,0.000e+0
KLHL29,0.213,0.418,0.000e+0
ST3GAL3,0.184,0.418,0.000e+0
RBFOX2,0.293,0.417,0.000e+0
CAMK2G,0.202,0.417,0.000e+0
ZNF680,0.196,0.417,0.000e+0
LMBR1,0.190,0.417,0.000e+0
WNK2,0.166,0.417,0.000e+0
USP9X,0.213,0.416,0.000e+0
NBAS,0.196,0.416,0.000e+0
ZZEF1,0.185,0.416,0.000e+0
RFX7,0.185,0.415,0.000e+0
ZC3H7A,0.204,0.415,0.000e+0
ZSCAN30,0.168,0.415,0.000e+0
RASSF4,0.185,0.415,0.000e+0
PYGO1,0.173,0.415,0.000e+0
FOXN3,0.283,0.415,0.000e+0
RNF213,0.220,0.414,0.000e+0
RORC,0.164,0.414,0.000e+0
TRIP11,0.238,0.414,0.000e+0
RP11-296E23.1,0.192,0.414,0.000e+0
AC011288.2,0.212,0.414,0.000e+0
ATP11B,0.200,0.413,0.000e+0
CDK5RAP2,0.196,0.413,0.000e+0
ENGASE,0.187,0.413,0.000e+0
HACD1,0.168,0.413,0.000e+0
SGMS1,0.204,0.413,0.000e+0
UBE4B,0.207,0.412,0.000e+0
RABGAP1L,0.233,0.412,0.000e+0
MYLK3,0.166,0.412,0.000e+0
ABCC1,0.184,0.412,0.000e+0
CSNK1A1,0.332,0.412,0.000e+0
DMXL1,0.195,0.412,0.000e+0
MAN2A1,0.222,0.412,0.000e+0
VEGFA,0.340,0.412,0.000e+0
UBA2,0.246,0.411,0.000e+0
PCGF5,0.197,0.411,0.000e+0
FAM193A,0.185,0.411,0.000e+0
STON2,0.182,0.411,0.000e+0
ASB11,0.153,0.410,0.000e+0
RP11-701H24.9,0.176,0.410,0.000e+0
ZNF609,0.207,0.410,0.000e+0
PFKFB1,0.157,0.410,0.000e+0
LINC00472,0.177,0.410,0.000e+0
SMG5,0.200,0.410,0.000e+0
ZBTB20-AS5,0.175,0.410,0.000e+0
AC074363.1,0.189,0.409,0.000e+0
RP11-39M21.1,0.184,0.409,0.000e+0
CAB39,0.198,0.409,0.000e+0
PTBP2,0.227,0.409,0.000e+0
PPDPFL,0.230,0.409,0.000e+0
TRMT11,0.187,0.409,0.000e+0
AQP7,0.165,0.409,0.000e+0
ZFYVE9,0.180,0.409,0.000e+0
COMMD1,0.247,0.409,0.000e+0
ZNF493,0.185,0.408,0.000e+0
BTBD9,0.189,0.408,0.000e+0
USF3,0.172,0.408,0.000e+0
UBR1,0.199,0.408,0.000e+0
MCPH1,0.173,0.408,0.000e+0
KLHL30,0.161,0.407,0.000e+0
UMAD1,0.185,0.407,0.000e+0
CTC-431G16.2,0.175,0.407,0.000e+0
NEK9,0.189,0.407,0.000e+0
GPBP1L1,0.202,0.407,0.000e+0
YIPF4,0.235,0.407,0.000e+0
ATXN7L2,0.159,0.406,0.000e+0
NFIA,0.381,0.406,0.000e+0
AGPAT3,0.174,0.406,0.000e+0
CDC73,0.206,0.406,0.000e+0
PRKAR2A,0.221,0.406,0.000e+0
ARFGAP2,0.212,0.406,0.000e+0
NSF,0.179,0.405,0.000e+0
GTF2IRD2B,0.177,0.405,0.000e+0
NPAS2,0.194,0.405,0.000e+0
ST3GAL1,0.238,0.405,0.000e+0
NR6A1,0.165,0.404,0.000e+0
AFF4,0.277,0.404,0.000e+0
NFIC,0.354,0.404,0.000e+0
DENND5B,0.178,0.404,0.000e+0
CACUL1,0.207,0.404,0.000e+0
KLC1,0.205,0.404,0.000e+0
HTT,0.182,0.403,0.000e+0
KIN,0.180,0.403,0.000e+0
DCUN1D4,0.182,0.403,0.000e+0
FCHSD2,0.181,0.403,0.000e+0
TRIM13,0.203,0.403,0.000e+0
ANKRD28,0.255,0.402,0.000e+0
CREBBP,0.221,0.402,0.000e+0
MAP2K5,0.176,0.402,0.000e+0
TCERG1,0.219,0.402,0.000e+0
PDZRN3,0.226,0.402,0.000e+0
KLF12,0.186,0.401,0.000e+0
IWS1,0.196,0.401,0.000e+0
KCNJ2,0.150,0.401,0.000e+0
PAAF1,0.168,0.401,0.000e+0
ESCO1,0.175,0.401,0.000e+0
POU2F1,0.193,0.401,0.000e+0
ZBTB44,0.200,0.401,0.000e+0
SYTL3,0.153,0.400,0.000e+0
CLASRP,0.182,0.400,0.000e+0
RAB30,0.191,0.400,0.000e+0
FBXO42,0.190,0.400,0.000e+0
GTF3C1,0.186,0.399,0.000e+0
ZNF644,0.228,0.399,0.000e+0
MAST4,0.217,0.399,0.000e+0
PDE4B,0.193,0.399,0.000e+0
NEK7,0.194,0.399,0.000e+0
NELFCD,0.208,0.399,0.000e+0
AVIL,0.168,0.398,0.000e+0
TTC7B,0.165,0.398,0.000e+0
TEX2,0.164,0.398,0.000e+0
FAM126A,0.190,0.398,0.000e+0
RRAS2,0.218,0.397,0.000e+0
SCMH1,0.190,0.397,0.000e+0
DTWD2,0.150,0.397,0.000e+0
NPIPB5,0.156,0.397,0.000e+0
ATF7IP,0.197,0.397,0.000e+0
ZMYM2,0.222,0.396,0.000e+0
C4orf54,0.174,0.396,0.000e+0
B3GALNT2,0.160,0.396,0.000e+0
UNC13C,0.167,0.396,0.000e+0
CCDC91,0.201,0.395,0.000e+0
VGLL2,0.146,0.395,0.000e+0
LINC01405,0.170,0.395,0.000e+0
ZNF148,0.216,0.395,0.000e+0
DOCK4,0.190,0.395,0.000e+0
ELMOD3,0.171,0.395,0.000e+0
FNBP4,0.221,0.394,0.000e+0
DENND1A,0.173,0.394,0.000e+0
NR2C2,0.176,0.393,0.000e+0
TRRAP,0.166,0.393,0.000e+0
TOR1AIP2,0.194,0.393,0.000e+0
CLCN5,0.168,0.393,0.000e+0
LRBA,0.179,0.393,0.000e+0
ASB16,0.141,0.393,0.000e+0
RANBP10,0.155,0.393,0.000e+0
LINC01505,0.167,0.393,0.000e+0
CNOT4,0.230,0.393,0.000e+0
GARRE1,0.168,0.393,0.000e+0
ANKH,0.205,0.392,0.000e+0
CCNH,0.211,0.392,0.000e+0
MAN2A2,0.168,0.392,0.000e+0
XRRA1,0.174,0.392,0.000e+0
FAM126B,0.158,0.392,0.000e+0
TMEM259,0.209,0.392,0.000e+0
BTG2,0.372,0.392,0.000e+0
DPYD,0.226,0.392,0.000e+0
AGO3,0.207,0.392,0.000e+0
REV1,0.188,0.391,0.000e+0
RNF10,0.228,0.391,0.000e+0
RPS6KC1,0.166,0.391,0.000e+0
DIAPH2-AS1,0.179,0.391,0.000e+0
TOM1,0.195,0.391,0.000e+0
KANSL2,0.166,0.391,0.000e+0
GAPVD1,0.193,0.391,0.000e+0
PHF21A,0.198,0.391,0.000e+0
GOLGA8B,0.167,0.391,0.000e+0
SLC26A3,0.155,0.391,0.000e+0
RASAL2,0.198,0.391,0.000e+0
SLAIN2,0.184,0.390,0.000e+0
PVT1,0.178,0.390,0.000e+0
CUL1,0.189,0.390,0.000e+0
GPD1L,0.157,0.390,0.000e+0
GCFC2,0.177,0.390,0.000e+0
SEC14L1,0.179,0.390,0.000e+0
SLC12A2,0.173,0.390,0.000e+0
ASXL1,0.221,0.390,0.000e+0
KIAA0319L,0.169,0.390,0.000e+0
PGP,0.156,0.389,0.000e+0
MIPOL1,0.161,0.389,0.000e+0
CDK14,0.200,0.389,0.000e+0
PTAR1,0.178,0.389,0.000e+0
EDEM3,0.170,0.389,0.000e+0
WDFY3,0.186,0.389,0.000e+0
OTUD1,0.229,0.389,0.000e+0
MBNL1-AS1,0.155,0.389,0.000e+0
CBFA2T2,0.179,0.389,0.000e+0
B4GALT5,0.208,0.388,0.000e+0
SMTN,0.208,0.388,0.000e+0
ATE1,0.176,0.388,0.000e+0
PRMT7,0.161,0.388,0.000e+0
NIN,0.191,0.388,0.000e+0
GBA2,0.157,0.387,0.000e+0
COG5,0.166,0.387,0.000e+0
NUDT4,0.248,0.387,0.000e+0
CHD7,0.149,0.387,0.000e+0
RPS6KA5,0.177,0.387,0.000e+0
MYO1E,0.189,0.387,0.000e+0
PIBF1,0.187,0.387,0.000e+0
VPS45,0.167,0.387,0.000e+0
FRMD3,0.162,0.386,0.000e+0
DCUN1D1,0.175,0.386,0.000e+0
FAM168A,0.187,0.386,0.000e+0
ARHGEF7,0.218,0.386,0.000e+0
ANGPT1,0.164,0.386,0.000e+0
CD46,0.228,0.386,0.000e+0
TMEM131,0.188,0.386,0.000e+0
RAPSN,0.137,0.386,0.000e+0
IL12RB2,0.158,0.386,0.000e+0
RIC3,0.143,0.386,0.000e+0
KAT8,0.188,0.386,0.000e+0
PKD2L2,0.152,0.386,0.000e+0
UTRN,0.234,0.386,0.000e+0
SFSWAP,0.197,0.385,0.000e+0
ANAPC1,0.167,0.385,0.000e+0
ZRANB1,0.167,0.385,0.000e+0
CAND1,0.213,0.385,0.000e+0
PNPLA7,0.162,0.385,0.000e+0
ILKAP,0.179,0.385,0.000e+0
TAPT1,0.151,0.385,0.000e+0
WDR59,0.158,0.384,0.000e+0
AKT2,0.194,0.384,0.000e+0
PPIL2,0.154,0.384,0.000e+0
CRYBG3,0.198,0.384,0.000e+0
ZFAND5,0.362,0.383,0.000e+0
NGLY1,0.173,0.383,0.000e+0
ZBED5,0.183,0.383,0.000e+0
WHAMM,0.155,0.383,0.000e+0
PEX5L,0.187,0.383,0.000e+0
PDZD2,0.178,0.383,0.000e+0
KPNA4,0.200,0.382,0.000e+0
PTP4A3,0.150,0.382,0.000e+0
SMYD4,0.160,0.382,0.000e+0
CTD-2280E9.1,0.146,0.382,0.000e+0
SPEN,0.201,0.382,0.000e+0
EPM2AIP1,0.185,0.382,0.000e+0
POMT1,0.158,0.382,0.000e+0
ANKAR,0.158,0.382,0.000e+0
KCTD8,0.148,0.382,0.000e+0
CD38,0.139,0.382,0.000e+0
DMTF1,0.188,0.381,0.000e+0
EZH1,0.171,0.380,0.000e+0
SDCCAG8,0.167,0.380,0.000e+0
NUP88,0.153,0.380,0.000e+0
PDE5A,0.188,0.380,0.000e+0
DDX46,0.239,0.379,0.000e+0
BTAF1,0.167,0.379,0.000e+0
DNASE1L1,0.136,0.379,0.000e+0
ELP2,0.188,0.379,0.000e+0
EWSR1,0.265,0.379,0.000e+0
TMEM131L,0.166,0.379,0.000e+0
LRP6,0.155,0.379,0.000e+0
MED24,0.154,0.378,0.000e+0
PDE8A,0.173,0.378,0.000e+0
ERBIN,0.194,0.378,0.000e+0
KPNA6,0.175,0.378,0.000e+0
COP1,0.175,0.378,0.000e+0
RP11-768F21.1,0.162,0.378,0.000e+0
RBM39,0.403,0.378,0.000e+0
ZCCHC8,0.162,0.378,0.000e+0
TYW1,0.197,0.378,0.000e+0
DAB2IP,0.159,0.378,0.000e+0
TMED5,0.199,0.377,0.000e+0
TTC37,0.161,0.377,0.000e+0
SUPT3H,0.166,0.377,0.000e+0
PDE7B,0.160,0.377,0.000e+0
BICRAL,0.162,0.377,0.000e+0
ADAMTS17,0.169,0.377,0.000e+0
HERC4,0.230,0.376,0.000e+0
OBSL1,0.162,0.376,0.000e+0
OTUD4,0.162,0.376,0.000e+0
PCBD2,0.143,0.376,0.000e+0
GADD45G,0.263,0.376,0.000e+0
RHOQ-AS1,0.154,0.376,0.000e+0
HIVEP2,0.202,0.376,0.000e+0
EXOSC10,0.171,0.376,0.000e+0
PPP1R1A,0.151,0.375,0.000e+0
LATS1,0.163,0.374,0.000e+0
GLYR1,0.176,0.374,0.000e+0
DUSP3,0.158,0.374,0.000e+0
TET2,0.158,0.373,0.000e+0
VSIG10,0.147,0.373,0.000e+0
TEAD4,0.139,0.373,0.000e+0
ZNF33A,0.162,0.373,0.000e+0
ARHGEF6,0.152,0.373,0.000e+0
RUBCN,0.141,0.373,0.000e+0
ITPR2,0.175,0.373,0.000e+0
FBXW11,0.167,0.372,0.000e+0
MYOD1,0.133,0.372,0.000e+0
GRIK1,0.166,0.372,0.000e+0
ZNF431,0.157,0.372,0.000e+0
TFEB,0.149,0.372,0.000e+0
ZBTB38,0.214,0.372,0.000e+0
ATP2C1,0.214,0.371,0.000e+0
PRKAA1,0.174,0.371,0.000e+0
SDC4,0.200,0.371,0.000e+0
ACHE,0.144,0.371,0.000e+0
BVES,0.137,0.371,0.000e+0
SLC7A6OS,0.164,0.371,0.000e+0
PPARA,0.154,0.371,0.000e+0
MLIP-AS1,0.138,0.371,0.000e+0
LRRC8B,0.146,0.371,0.000e+0
RAPGEF1,0.168,0.370,0.000e+0
NUDT3,0.181,0.370,0.000e+0
SMAP1,0.191,0.370,0.000e+0
TTLL11,0.140,0.370,0.000e+0
TOGARAM2,0.155,0.370,0.000e+0
ZNF326,0.180,0.370,0.000e+0
PTPRQ,0.134,0.370,0.000e+0
TASOR2,0.165,0.370,0.000e+0
DNMT3A,0.161,0.369,0.000e+0
PPP2R2A,0.197,0.369,0.000e+0
MYH6,0.142,0.369,0.000e+0
ELP4,0.153,0.369,0.000e+0
LAMP2,0.240,0.369,0.000e+0
SOBP,0.155,0.369,0.000e+0
RAB12,0.144,0.368,0.000e+0
POM121C,0.157,0.368,0.000e+0
XIAP,0.173,0.368,0.000e+0
C16orf72,0.148,0.368,0.000e+0
RNF114,0.238,0.368,0.000e+0
